sex,age,age_cat,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,two_year_recid
Male,34,25 - 45,African-American,0,0,0,0,F,1
Male,24,Less than 25,African-American,4,0,0,1,F,1
Male,41,25 - 45,Caucasian,14,0,0,0,F,1
Female,39,25 - 45,Caucasian,0,0,0,0,M,0
Male,27,25 - 45,Caucasian,0,0,0,0,F,0
Male,23,Less than 25,African-American,3,0,0,0,M,1
Female,37,25 - 45,Caucasian,0,0,0,0,M,0
Male,41,25 - 45,African-American,0,0,0,0,F,0
Female,47,Greater than 45,Caucasian,1,0,0,0,F,1
Male,31,25 - 45,African-American,7,0,0,0,F,1
Male,25,25 - 45,African-American,3,0,0,0,F,0
Male,31,25 - 45,Caucasian,6,0,0,0,F,1
Male,31,25 - 45,Caucasian,5,0,0,0,F,1
Male,64,Greater than 45,African-American,13,0,0,0,F,1
Male,21,Less than 25,African-American,1,0,0,0,F,1
Male,27,25 - 45,Caucasian,0,0,0,0,M,1
Female,21,Less than 25,Caucasian,0,0,0,0,F,0
Male,43,25 - 45,Caucasian,1,0,0,0,M,0
Male,27,25 - 45,African-American,8,0,0,0,F,1
Male,26,25 - 45,African-American,5,0,0,1,F,1
Male,33,25 - 45,African-American,0,0,0,0,F,1
Male,30,25 - 45,Caucasian,9,0,0,0,F,1
Male,32,25 - 45,African-American,4,0,0,0,F,1
Male,55,Greater than 45,Caucasian,0,0,0,0,F,0
Female,33,25 - 45,Caucasian,4,0,0,0,M,1
Male,24,Less than 25,Caucasian,1,0,0,0,M,1
Male,34,25 - 45,African-American,21,2,1,3,F,1
Male,29,25 - 45,Caucasian,0,0,0,0,M,0
Female,21,Less than 25,African-American,2,0,0,0,F,0
Male,51,Greater than 45,African-American,2,0,0,0,M,0
Male,29,25 - 45,Caucasian,2,0,0,0,M,1
Female,51,Greater than 45,African-American,7,0,0,0,F,0
Male,29,25 - 45,African-American,0,0,0,0,F,1
Male,25,25 - 45,Caucasian,9,0,0,0,M,1
Male,35,25 - 45,African-American,13,1,0,4,F,1
Male,49,Greater than 45,Caucasian,0,0,0,0,M,0
Male,29,25 - 45,African-American,0,0,0,0,F,0
Male,29,25 - 45,Caucasian,1,0,0,0,F,1
Male,31,25 - 45,African-American,15,0,0,1,F,0
Male,24,Less than 25,African-American,2,0,0,0,F,1
Male,49,Greater than 45,African-American,4,0,0,0,M,0
Male,53,Greater than 45,Caucasian,8,0,0,0,F,0
Male,35,25 - 45,African-American,5,0,0,0,F,0
Male,27,25 - 45,African-American,15,1,1,2,F,1
Male,38,25 - 45,Caucasian,4,0,0,0,M,1
Male,22,Less than 25,African-American,1,0,0,1,F,1
Male,29,25 - 45,African-American,4,0,0,0,F,1
Male,27,25 - 45,African-American,6,0,1,0,F,1
Female,56,Greater than 45,African-American,0,0,0,0,M,0
